gen	nevals	avg                            	std                            	min                	max                
191	168   	[  0.90831667 759.01666667]    	[5.77112039e-02 6.54569812e+01]	[  0.7 515. ]      	[  0.97 925.  ]    
192	158   	[  0.9101     755.86666667]    	[5.44960855e-02 6.20691729e+01]	[  0.75 540.  ]    	[  0.97 915.  ]    
193	189   	[  0.9066 756.9   ]            	[5.95813729e-02 6.46211266e+01]	[  0.725 500.   ]  	[  0.97 915.  ]    
194	157   	[  0.9137     764.23333333]    	[5.72696255e-02 6.56029386e+01]	[  0.695 550.   ]  	[  0.97 915.  ]    
195	173   	[  0.91261667 763.63333333]    	[5.56752763e-02 6.59694289e+01]	[  0.755 550.   ]  	[  0.97 915.  ]    
196	172   	[  0.91035    764.76666667]    	[5.88809038e-02 6.72639990e+01]	[  0.695 570.   ]  	[  0.97 950.  ]    
197	168   	[  0.91668333 768.88333333]    	[5.44403318e-02 6.09672294e+01]	[  0.73 565.  ]    	[  0.97 920.  ]    
198	188   	[  0.91666667 766.7       ]    	[5.56257335e-02 5.88014456e+01]	[  0.75 590.  ]    	[  0.97 920.  ]    
199	169   	[  0.91248333 756.21666667]    	[5.88791111e-02 5.89796834e+01]	[  0.615 510.   ]  	[  0.97 910.  ]    
200	191   	[  0.90523333 746.51666667]    	[5.95688304e-02 6.38575215e+01]	[  0.62 555.  ]    	[  0.97 910.  ]    
201	161   	[  0.90581667 750.41666667]    	[6.16529241e-02 6.69607576e+01]	[  0.685 530.   ]  	[  0.97 910.  ]    
202	176   	[  0.90651667 750.3       ]    	[5.80670565e-02 6.02086096e+01]	[  0.73 570.  ]    	[  0.97 910.  ]    
